Type,Alpha,Mean Loyalty,Kappa Loyalty,Complexity,Num Segments
OS,0.0,0.93,0.0,0.01265822784810127,1.0
RDP,0.0,1.0,1.0,0.8475949367088608,66.96
BU,0.0,1.0,1.0,1.0126582278481016,80.0
VC,0.0,1.0,1.0,1.0,79.0
LSF,0.0,0.0,0.0,0.0,0.0
OS,0.1,0.99,0.9279538904899135,0.1521518987341772,12.02
RDP,0.1,0.97,0.8076923076923077,0.12240506329113927,9.67
BU,0.1,0.98,0.864314789687924,0.09898734177215193,7.82
VC,0.1,0.99,0.9279538904899135,0.22354430379746837,17.66
LSF,0.1,0.0,0.0,0.0,0.0
OS,0.2,0.99,0.9279538904899135,0.20974683544303796,16.57
RDP,0.2,0.91,0.5273109243697478,0.09632911392405065,7.61
BU,0.2,0.86,0.44134078212290506,0.08151898734177215,6.44
VC,0.2,0.98,0.864314789687924,0.16962025316455698,13.4
LSF,0.2,0.0,0.0,0.0,0.0
OS,0.30000000000000004,0.99,0.9279538904899135,0.26354430379746835,20.82
RDP,0.30000000000000004,0.63,0.1419294990723563,0.06860759493670887,5.42
BU,0.30000000000000004,0.61,0.16237113402061865,0.06632911392405065,5.24
VC,0.30000000000000004,0.98,0.864314789687924,0.14443037974683542,11.41
LSF,0.30000000000000004,0.0,0.0,0.0,0.0
OS,0.4,0.99,0.9279538904899135,0.3165822784810126,25.01
RDP,0.4,0.51,0.05259087393658157,0.051392405063291145,4.06
BU,0.4,0.51,0.11167512690355319,0.06316455696202533,4.99
VC,0.4,0.98,0.864314789687924,0.1311392405063291,10.36
LSF,0.4,0.0,0.0,0.0,0.0
OS,0.5,0.99,0.9279538904899135,0.3836708860759493,30.31
RDP,0.5,0.5,-0.09409190371991238,0.04088607594936709,3.23
BU,0.5,0.51,0.08308383233532934,0.059873417721519,4.73
VC,0.5,0.99,0.9279538904899135,0.12202531645569623,9.64
LSF,0.5,0.0,0.0,0.0,0.0
OS,0.6000000000000001,1.0,1.0,0.4617721518987342,36.48
RDP,0.6000000000000001,0.51,-0.09277430865298841,0.015696202531645567,1.24
BU,0.6000000000000001,0.49,-0.05633802816901401,0.05177215189873419,4.09
VC,0.6000000000000001,0.96,0.7569866342648846,0.11430379746835445,9.03
LSF,0.6000000000000001,0.0,0.0,0.0,0.0
OS,0.7000000000000001,1.0,1.0,0.5492405063291139,43.39
RDP,0.7000000000000001,0.66,-0.0644959298685035,0.01265822784810127,1.0
BU,0.7000000000000001,0.51,-0.13636363636363624,0.04455696202531646,3.52
VC,0.7000000000000001,0.94,0.66996699669967,0.11050632911392406,8.73
LSF,0.7000000000000001,0.0,0.0,0.0,0.0
OS,0.8,1.0,1.0,0.6541772151898735,51.68
RDP,0.8,0.66,-0.0644959298685035,0.01265822784810127,1.0
BU,0.8,0.51,-0.13636363636363624,0.0389873417721519,3.08
VC,0.8,0.93,0.6323529411764706,0.10822784810126584,8.55
LSF,0.8,0.0,0.0,0.0,0.0
OS,0.9,1.0,1.0,0.7554430379746837,59.68
RDP,0.9,0.66,-0.0644959298685035,0.01265822784810127,1.0
BU,0.9,0.5,-0.13688040018190084,0.03253164556962026,2.57
VC,0.9,0.93,0.6323529411764706,0.1058227848101266,8.36
LSF,0.9,0.0,0.0,0.0,0.0
