Type,Alpha,Mean Loyalty,Kappa Loyalty,Complexity,Num Segments
OS,0.0,0.83,0.0,0.01265822784810127,1.0
RDP,0.0,1.0,1.0,0.9927848101265824,78.43
BU,0.0,1.0,1.0,1.0126582278481016,80.0
VC,0.0,1.0,1.0,1.0,79.0
LSF,0.0,0.0,0.0,0.0,0.0
OS,0.1,0.88,0.5308835027365129,0.17670886075949366,13.96
RDP,0.1,0.82,0.25803792250618307,0.14417721518987345,11.39
BU,0.1,0.8,0.01477832512315258,0.11468354430379747,9.06
VC,0.1,0.93,0.7576177285318559,0.26506329113924054,20.94
LSF,0.1,0.0,0.0,0.0,0.0
OS,0.2,0.92,0.6872556684910085,0.2534177215189873,20.02
RDP,0.2,0.78,-0.01757631822386685,0.11139240506329118,8.8
BU,0.2,0.85,0.18122270742358082,0.09088607594936711,7.18
VC,0.2,0.91,0.6734397677793904,0.20139240506329112,15.91
LSF,0.2,0.0,0.0,0.0,0.0
OS,0.30000000000000004,0.95,0.7993579454253612,0.3140506329113924,24.81
RDP,0.30000000000000004,0.8,0.07493061979648474,0.07063291139240509,5.58
BU,0.30000000000000004,0.85,0.28435114503816794,0.06848101265822787,5.41
VC,0.30000000000000004,0.83,0.41135734072022156,0.16860759493670885,13.32
LSF,0.30000000000000004,0.0,0.0,0.0,0.0
OS,0.4,0.96,0.8436278342455042,0.37746835443037974,29.82
RDP,0.4,0.74,-0.016419077404222104,0.059873417721519,4.73
BU,0.4,0.85,0.28435114503816794,0.06329113924050635,5.0
VC,0.4,0.79,0.23802612481857766,0.1527848101265823,12.07
LSF,0.4,0.0,0.0,0.0,0.0
OS,0.5,0.97,0.885670731707317,0.46075949367088603,36.4
RDP,0.5,0.75,-0.12208258527827653,0.05113924050632912,4.04
BU,0.5,0.85,0.28435114503816794,0.06253164556962026,4.94
VC,0.5,0.76,0.14953933380581141,0.14253164556962028,11.26
LSF,0.5,0.0,0.0,0.0,0.0
OS,0.6000000000000001,0.98,0.9256505576208178,0.5607594936708861,44.3
RDP,0.6000000000000001,0.79,0.11016949152542377,0.018101265822784814,1.43
BU,0.6000000000000001,0.85,0.28435114503816794,0.06000000000000002,4.74
VC,0.6000000000000001,0.76,0.14953933380581141,0.13632911392405064,10.77
LSF,0.6000000000000001,0.0,0.0,0.0,0.0
OS,0.7000000000000001,1.0,1.0,0.6739240506329112,53.24
RDP,0.7000000000000001,0.77,0.07704654895666141,0.01265822784810127,1.0
BU,0.7000000000000001,0.84,0.15700737618545824,0.05037974683544306,3.98
VC,0.7000000000000001,0.76,0.10780669144981403,0.13202531645569626,10.43
LSF,0.7000000000000001,0.0,0.0,0.0,0.0
OS,0.8,1.0,1.0,0.7983544303797468,63.07
RDP,0.8,0.77,0.07704654895666141,0.01265822784810127,1.0
BU,0.8,0.83,0.07205240174672489,0.04063291139240507,3.21
VC,0.8,0.75,0.09288824383163996,0.12632911392405066,9.98
LSF,0.8,0.0,0.0,0.0,0.0
OS,0.9,1.0,1.0,0.9054430379746834,71.53
RDP,0.9,0.77,0.07704654895666141,0.01265822784810127,1.0
BU,0.9,0.83,0.07205240174672489,0.03772151898734178,2.98
VC,0.9,0.75,0.09288824383163996,0.1236708860759494,9.77
LSF,0.9,0.0,0.0,0.0,0.0
