Type,Alpha,Mean Loyalty,Kappa Loyalty,Complexity,Num Segments
OS,0.0,0.3,0.05123339658444026,0.006711409395973153,1.0
RDP,0.0,1.0,1.0,0.998993288590604,148.85
BU,0.0,1.0,1.0,1.006711409395973,150.0
VC,0.0,1.0,1.0,1.0,149.0
LSF,0.0,0.0,0.0,0.0,0.0
OS,0.1,1.0,1.0,0.06731543624161074,10.03
RDP,0.1,0.59,0.18000000000000005,0.03040268456375839,4.53
BU,0.1,0.96,0.7965412004069176,0.038389261744966444,5.72
VC,0.1,0.98,0.8890122086570478,0.07724832214765101,11.51
LSF,0.1,0.0,0.0,0.0,0.0
OS,0.2,1.0,1.0,0.09288590604026843,13.84
RDP,0.2,0.34,0.06382978723404253,0.016845637583892615,2.51
BU,0.2,0.6,0.15860328144720248,0.029530201342281882,4.4
VC,0.2,0.98,0.8890122086570478,0.057583892617449645,8.58
LSF,0.2,0.0,0.0,0.0,0.0
OS,0.30000000000000004,1.0,1.0,0.11536912751677851,17.19
RDP,0.30000000000000004,0.47,0.11430481283422467,0.011409395973154364,1.7
BU,0.30000000000000004,0.55,0.12858249419055,0.025100671140939595,3.74
VC,0.30000000000000004,0.97,0.8407643312101911,0.05087248322147651,7.58
LSF,0.30000000000000004,0.0,0.0,0.0,0.0
OS,0.4,1.0,1.0,0.1395302013422819,20.79
RDP,0.4,0.55,0.15540540540540537,0.008523489932885904,1.27
BU,0.4,0.56,0.16126572626763236,0.021006711409395966,3.13
VC,0.4,0.97,0.8407643312101911,0.04778523489932885,7.12
LSF,0.4,0.0,0.0,0.0,0.0
OS,0.5,1.0,1.0,0.16395973154362417,24.43
RDP,0.5,0.3,0.05123339658444026,0.006711409395973153,1.0
BU,0.5,0.54,0.14972273567467642,0.019261744966442954,2.87
VC,0.5,0.97,0.8407643312101911,0.045100671140939595,6.72
LSF,0.5,0.0,0.0,0.0,0.0
OS,0.6000000000000001,1.0,1.0,0.1912751677852349,28.5
RDP,0.6000000000000001,0.3,0.05123339658444026,0.006711409395973153,1.0
BU,0.6000000000000001,0.52,0.13885898815931097,0.017248322147651006,2.57
VC,0.6000000000000001,0.97,0.8407643312101911,0.04268456375838925,6.36
LSF,0.6000000000000001,0.0,0.0,0.0,0.0
OS,0.7000000000000001,1.0,1.0,0.22154362416107382,33.01
RDP,0.7000000000000001,0.3,0.05123339658444026,0.006711409395973153,1.0
BU,0.7000000000000001,0.52,0.13885898815931097,0.016577181208053692,2.47
VC,0.7000000000000001,0.97,0.8407643312101911,0.041073825503355706,6.12
LSF,0.7000000000000001,0.0,0.0,0.0,0.0
OS,0.8,1.0,1.0,0.2763758389261745,41.18
RDP,0.8,0.3,0.05123339658444026,0.006711409395973153,1.0
BU,0.8,0.53,0.14420975965040062,0.016241610738255034,2.42
VC,0.8,0.96,0.7965412004069176,0.03966442953020135,5.91
LSF,0.8,0.0,0.0,0.0,0.0
OS,0.9,1.0,1.0,0.37677852348993285,56.14
RDP,0.9,0.3,0.05123339658444026,0.006711409395973153,1.0
BU,0.9,0.54,0.14972273567467642,0.015906040268456375,2.37
VC,0.9,0.96,0.7965412004069176,0.03885906040268457,5.79
LSF,0.9,0.0,0.0,0.0,0.0
