Type,Alpha,Mean Loyalty,Kappa Loyalty,Complexity,Num Segments
OS,0.0,1.0,1.0,0.010204081632653059,1.0
RDP,0.0,1.0,1.0,0.9999999999999999,98.0
BU,0.0,1.0,1.0,1.0102040816326525,99.0
VC,0.0,1.0,1.0,0.9999999999999999,98.0
LSF,0.0,0.0,0.0,0.0,0.0
OS,0.1,1.0,1.0,0.07387755102040815,7.24
RDP,0.1,1.0,1.0,0.046530612244897955,4.56
BU,0.1,1.0,1.0,0.04428571428571428,4.34
VC,0.1,1.0,1.0,0.11999999999999997,11.76
LSF,0.1,0.0,0.0,0.0,0.0
OS,0.2,1.0,1.0,0.11316326530612242,11.09
RDP,0.2,1.0,1.0,0.03214285714285715,3.15
BU,0.2,1.0,1.0,0.0323469387755102,3.17
VC,0.2,1.0,1.0,0.08622448979591836,8.45
LSF,0.2,0.0,0.0,0.0,0.0
OS,0.30000000000000004,1.0,1.0,0.1473469387755102,14.44
RDP,0.30000000000000004,0.99,0.0,0.023877551020408165,2.34
BU,0.30000000000000004,1.0,1.0,0.026428571428571433,2.59
VC,0.30000000000000004,1.0,1.0,0.0707142857142857,6.93
LSF,0.30000000000000004,0.0,0.0,0.0,0.0
OS,0.4,1.0,1.0,0.18377551020408162,18.01
RDP,0.4,1.0,1.0,0.014999999999999998,1.47
BU,0.4,1.0,1.0,0.022040816326530606,2.16
VC,0.4,1.0,1.0,0.061938775510204075,6.07
LSF,0.4,0.0,0.0,0.0,0.0
OS,0.5,1.0,1.0,0.22173469387755101,21.73
RDP,0.5,1.0,1.0,0.010714285714285707,1.05
BU,0.5,1.0,1.0,0.021224489795918358,2.08
VC,0.5,1.0,1.0,0.05693877551020408,5.58
LSF,0.5,0.0,0.0,0.0,0.0
OS,0.6000000000000001,1.0,1.0,0.2758163265306122,27.03
RDP,0.6000000000000001,1.0,1.0,0.010306122448979589,1.01
BU,0.6000000000000001,1.0,1.0,0.020714285714285702,2.03
VC,0.6000000000000001,1.0,1.0,0.052755102040816314,5.17
LSF,0.6000000000000001,0.0,0.0,0.0,0.0
OS,0.7000000000000001,1.0,1.0,0.34224489795918367,33.54
RDP,0.7000000000000001,1.0,1.0,0.010204081632653059,1.0
BU,0.7000000000000001,1.0,1.0,0.020408163265306117,2.0
VC,0.7000000000000001,1.0,1.0,0.048469387755102025,4.75
LSF,0.7000000000000001,0.0,0.0,0.0,0.0
OS,0.8,1.0,1.0,0.4248979591836734,41.64
RDP,0.8,1.0,1.0,0.010204081632653059,1.0
BU,0.8,1.0,1.0,0.020408163265306117,2.0
VC,0.8,1.0,1.0,0.045918367346938764,4.5
LSF,0.8,0.0,0.0,0.0,0.0
OS,0.9,1.0,1.0,0.5456122448979591,53.47
RDP,0.9,1.0,1.0,0.010204081632653059,1.0
BU,0.9,1.0,1.0,0.020408163265306117,2.0
VC,0.9,1.0,1.0,0.044183673469387744,4.33
LSF,0.9,0.0,0.0,0.0,0.0
